Date,Region,Product Category,Units Sold,Revenue,Salesperson
2024-04-29 00:00:00,North,C,137.0,9313.67,Jessica Martinez
2024-01-04 00:00:00,North,1,236.0,22419.9,Robert Taylor
2024-04-08 00:00:00,WEST,C,145.0,13173.57,David Wilson
2024-05-05 00:00:00,North,A,383.0,50299.11,John Smith
2024-03-04 00:00:00,North,A,119.0,6089.64,Sarah Johnson
2024-04-26 00:00:00,North,B,156.0,13977.22,Jessica Martinez
2024-02-14 00:00:00,South,A,0.0,3018.21,Michael Brown
2024-12-04 00:00:00,West,AB,242.0,35122.84,Jessica Martinez
2024-01-17 00:00:00,North,C,183.0,14250.9,John Smith
2024-02-17 00:00:00,West,B,451.0,68228.13,Jessica Martinez
2024-08-04 00:00:00,West,B,382.0,23690.39,Michael Brown
2024-05-20 00:00:00,West,A,452.0,61868.42,Robert Taylor
2024-11-21 00:00:00,North,B,377.0,62456.79,John Smith
2024-05-22 00:00:00,West,A,60.0,11986.09,Robert Taylor
2024-11-23 00:00:00,West,A,226.0,16547.61,David Wilson
2024-07-12 00:00:00,North,B,452.0,77999.66,David Wilson
2024-12-25 00:00:00,South,C,103.0,13226.99,Emily Davis
2024-10-28 00:00:00,West,B,482.0,52715.32,Michael Brown
,East,A,256.0,37912.69,David Wilson
2024-06-23 00:00:00,,A,291.0,34554.16,Sarah Johnson
2024-02-10 00:00:00,East,B,366.0,68002.97,Sarah Johnson
2024-11-05 00:00:00,South,C,,22933.09,John Smith
2024-01-23 00:00:00,North,A,218.0,30901.86,Robert Taylor
2024-07-13 00:00:00,West,C,57.0,10381.39,Jessica Martinez
2024-05-22 00:00:00,West,B,48.0,7236.17,Jessica Martinez
2024-10-29 00:00:00,North,C,216.0,41929.24,Robert Taylor
2024-07-02 00:00:00,,A,395.0,41644.48,Sara Johnson
2024-09-15 00:00:00,South,B,108.0,19822.65,Emily Davis
2024-02-22 00:00:00,West,A,344.0,47343.56,Michael Brown
2024-06-21 00:00:00,East,C,,23444.32,Emily Davis
2024-10-06 00:00:00,South,B,152.0,-2892.74,Michael Brown
2024-08-23 00:00:00,East,A,258.0,51105.92,Jon Smith
2024-02-05 00:00:00,North,C,411.0,64790.79,Sarah Johnson
2024-08-04 00:00:00,North,A,448.0,27274.9,Michael Brown
2024-08-23 00:00:00,East,A,258.0,51105.92,Jessica Martinez
2024-03-12 00:00:00,West,B,354.0,20735.48,Sarah Johnson
2024-11-17 00:00:00,West,B,94.0,6593.5,John Smith
2024-04-21 00:00:00,East,C,65.0,5543.24,John Smith
2024-07-05 00:00:00,West,B,259.0,37701.85,Emily Davis
2024-02-19 00:00:00,South,A,484.0,88035.02,David Wilson
2024-12-04 00:00:00,West,C,242.0,35122.84,Jessica Martinez
2024-01-16 00:00:00,East,A,419.0,58347.96,David Wilson
2024-02-27 00:00:00,North,A,220.0,20791.36,Michael Brown
2024-05-30 00:00:00,South,D,-65.0,7633.58,Jessica Martinez
,East,A,215.0,20404.96,Jessica Martinez
2024-13-45,South,C,204.0,13732.12,Sarah Johnson
2024-01-24 00:00:00,West,C,411.0,33101.77,Robert Taylor
Invalid Date,East,A,-84.0,26901.6,John Smith
2024-12-23 00:00:00,Central,A,451.0,73413.63,David Wilson
2024-10-09 00:00:00,North,C,472.0,70567.92,Robert Taylor
,East,A,411.0,46663.45,David Wilson
2024-04-20 00:00:00,north,A,343.0,20919.26,Amanda Anderson
2024-02-22 00:00:00,East,,438.0,39323.67,Emily Davis
2024-04-24 00:00:00,East,C,37.0,6001.26,Sarah Johnson
2024-06-25 00:00:00,South,A,444.0,-2768.64,Emily Davis
2024-04-22 00:00:00,West,C,-87.0,21567.74,Robert Taylor
2024-08-02 00:00:00,Eastern,B,246.0,19837.16,Michael Brown
2024-04-20 00:00:00,East,A,343.0,20919.26,Amanda Anderson
2024-07-04 00:00:00,East,B,11.0,726.61,David Wilson
2024-02-22 00:00:00,West,A,344.0,47343.56,Michael Brown
2024-10-06 00:00:00,South,A,60.0,10674.48,Jessica Martinez
2024-02-17 00:00:00,West,A,17.0,3229.81,Mike Brown
2024-05-15 00:00:00,South,C,95.0,14775.44,Emily Davis
2024-05-28 00:00:00,West,A,226.0,27861.23,Robert Taylor
2024-10-14 00:00:00,West,C,239.0,-1854.81,Jessica Martinez
2024-11-04 00:00:00,North,A,107.0,9301.76,Emily Davis
2024-11-28 00:00:00,West,A,226.0,31086.49,Michael Brown
2024-05-28 00:00:00,West,A,226.0,27861.23,Robert Taylor
2024-04-29 00:00:00,North,B,500.0,88457.78,Robert Taylor
2024-01-13 00:00:00,North,C,249.0,48631.29,Amanda Anderson
2024-08-20 00:00:00,North,C,,17585.08,Robert Taylor
2024-03-22 00:00:00,South,B,0.0,41211.44,Emily Davis
2024-01-14 00:00:00,East,C,284.0,39526.52,Sarah Johnson
2024-04-11 00:00:00,North,C,81.0,9143.58,Robert Taylor
2024-12-26 00:00:00,East,A,484.0,68110.65,John Smith
2024-03-20 00:00:00,South,B,35.0,6979.51,John Smith
2024-10-22 00:00:00,North,A,209.0,27793.56,Michael Brown
2024-12-12 00:00:00,West,C,340.0,42645.37,John Smith
2024-02-21 00:00:00,South,A,384.0,24516.39,Emily Davis
2024-08-17 00:00:00,North,a,457.0,,John Smith
